id,name,address,type,services
60365,Whitby,SVLN (Off Discovery Drive),Postbox Lobby,box_lobby
100166,Posting box,"71 Discovery Drive, Whitby, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100165,Posting box,"3 Observatory Close, Poririua, Porirua",Postbox,post_a_letter_standard
100164,Posting box,"53 Spinnaker Drive, Whitby, Porirua",Postbox,post_a_letter_standard
100167,Posting box,"106 Omapere Street, Whitby, Porirua",Postbox,post_a_letter_standard
99648,Posting box,"17 Paekakariki Hill Road, Pautahanui, Porirua",Postbox,post_a_letter_standard
99867,Posting box,"40 Conclusion Street, Ascot Park, Porirua",Postbox,post_a_letter_standard
100168,Posting box,"216 Warspite Avenue, Waitangirua, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
99737,Posting box,"13 Tweed Road, Papakowhai, Porirua",Postbox,post_a_letter_standard
99693,Posting box,"37 Paramata Crescent, Paramata, Porirua",Postbox,post_a_letter_standard
99902,Posting box,"27 Aotea Drive, Aotea, Porirua",Postbox,post_a_letter_standard
100202,Posting box,"99 Mana Esplanade, Mana, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
60388,Cannons Creek,"194 Bedford Street, Cannons Creek, Porirua 5024",Postbox Lobby,box_lobby
60248,Mana PostShop,"99 Mana Esplanade, Paremata, Porirua 5026",Postbox Lobby,box_lobby
58151,Mana PostShop,"99 Mana Esplanade, Paremata, Porirua 5026",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,pay_a_bill,standard_banking_services,counter_delivery,parcel_collection"
99869,Posting box,"194 Bedford Street, Cannons Creek, Porirua",Postbox,post_a_letter_standard
72147,Bedford Street Four Square,"194 Bedford Street, Cannons Creek, Porirua 5024",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,counter_delivery"
58440,Kiwibank ATM,"7/18 Mungavin Avenue, Ranui, Porirua 5024",ATM,atm
100169,Posting box,"5 Mungavin Avenue, Mungavin, Porirua",Postbox,post_a_letter_standard
102204,Posting box,"104 Main Road, Onepoto, Porirua",Postbox,post_a_letter_standard
100201,Posting box,"4 Steyne Avenue, Plimmerton, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
72478,Plimmerton Four Square,"4 Steyne Avenue, Plimmerton, Porirua 5026",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage"
100171,Posting box,"12 Parumoana Street, Porirua, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100172,Posting box,"9 Semple Street, Porirua, Porirua",Postbox,post_a_letter_standard
100179,Posting box,"8 Kapiti Crescent, Titahi Bay, Porirua",Postbox,post_a_letter_standard
102206,Posting box,"1 Serlby Place, Porirua, Porirua",Postbox,post_a_letter_standard
102205,Posting box,"Walton Leigh Avenue, Porirua, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
102203,Posting box,"13 Whitehouse Road, Titahi Bay, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
72602,Titahi Bay Four Square,"13 Whitehouse Road, Titahi Bay, Porirua 5022",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,counter_delivery"
60536,Titahi Bay Four Square,"13 Whitehouse Road, Titahi Bay, Porirua 5022",Postbox Lobby,box_lobby
99899,Posting box,"2 Semple Street, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
60225,Porirua PostShop,"2/10 Semple Street, Porirua City Centre, Porirua 5022",Postbox Lobby,box_lobby
65124,Kiwibank ATM,"2/10 Semple Street, Porirua City Centre, Porirua 5022",ATM,atm
58227,Porirua PostShop,"2/10 Semple Street, Porirua City Centre, Porirua 5022",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,pay_a_bill,standard_banking_services,dropbox,counter_delivery,passport_and_id_photos,parcel_collection"
100170,Posting box,"Titahi Bay Road, Porirua, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100180,Posting box,"20 Bay Road, Titahi Bay, Porirua",Postbox,post_a_letter_standard
100069,Posting box,"1 Hukatai Street, Elsdon, Porirua",Postbox,post_a_letter_standard
99866,Posting box,"Kenepuru Drive, Kenepuru, Porirua",Postbox,post_a_letter_standard
100028,Posting box,"214 Major Drive, Kelson, Lower Hutt",Postbox,post_a_letter_standard
100181,Posting box,"1 Collins Avenue, Linden, Tawa",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
99954,Posting box,"10 The Square, Manor Park, Lower Hutt",Postbox,post_a_letter_standard
100041,Posting box,"35 Major Drive, Lower Hutt",Postbox,post_a_letter_standard
100030,Posting box,"24 Hill Road, Belmont, Lower Hutt",Postbox,post_a_letter_standard
99906,Posting box,"35 Oxford Street, Tawa, Tawa",Postbox,post_a_letter_standard
99960,Posting box,"1213 High Street, Taita, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
72564,Taita Pharmacy,"1206 High Street, Taita, Lower Hutt 5011",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage"
100035,Posting box,"262 Grounsell Crescent, Lower Hutt",Postbox,post_a_letter_standard
65148,Kiwibank ATM,"181 Main Road, Tawa, Wellington 5028",ATM,atm
58269,Tawa Take Note,"181 Main Road, Tawa, Wellington 5028",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,pay_a_bill,standard_banking_services,dropbox,counter_delivery,parcel_collection"
60018,Tawa Take Note,"181 Main Road, Tawa, Wellington 5028",Postbox Lobby,box_lobby
100182,Posting box,"181 Main Road, Tawa, Tawa",Postbox,post_a_letter_standard
100048,Posting box,"45 Stokes Valley Road, Upper Hutt",Postbox,post_a_letter_standard
100020,Posting box,"168 Taita Drive, Taita, Lower Hutt",Postbox,post_a_letter_standard
99952,Posting box,"1 Ardal Grove, Belmont, Lower Hutt",Postbox,post_a_letter_standard
72245,Oaks Dairy,"1037 High Street, Avalon, Lower Hutt 5011",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage"
99956,Posting box,"1037 High Street, Avalon, Lower Hutt",Postbox,post_a_letter_standard
86024,Avalon Mini Mart,"937 High Street, Avalon, Lower Hutt, Wellington, 5011",PostShop,"post_a_parcel,purchase_postage,post_a_letter_standard,post_a_letter_fastpost"
99901,Posting box,"937 High Street, Avalon, Lower Hutt",Postbox,post_a_letter_standard
100200,Posting box,"State Highway 1, Pukerua Bay, Porirua",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
58254,Stokes Valley PostShop,"190 Stokes Valley Road, Stokes Valley, Lower Hutt 5019",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,pay_a_bill,standard_banking_services,counter_delivery,parcel_collection"
65140,Kiwibank ATM,"190 Stokes Valley Road, Stokes Valley, Lower Hutt 5019",ATM,atm
60115,Stokes Valley PostShop,"190 Stokes Valley Road, Stokes Valley, Lower Hutt 5019",Postbox Lobby,box_lobby
100024,Posting box,"190 Stokes Valley Road, Stokes Valley, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100019,Posting box,"152 Normandale Road, Lower Hutt",Postbox,post_a_letter_standard
100049,Posting box,"45 Glen Road, Stokes Valley, Wellington",Postbox,post_a_letter_standard
100183,Posting box,"16 Larsen Crescent, Tawa, Tawa",Postbox,post_a_letter_standard
100184,Posting box,"56 Redwood Avenue, Tawa, Tawa",Postbox,post_a_letter_standard
100063,Posting box,"802 High Street, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
72461,Park Avenue Superettes,"800 High Street, Boulcott, Lower Hutt 5011",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,counter_delivery"
60692,Park Avenue,"800 High Street, Boulcott, Lower Hutt 5011",Postbox Lobby,box_lobby
100025,Posting box,"Pharazyn Street, Melling, Lower Hutt",Postbox,post_a_letter_standard
100032,Posting box,"252 Dowse Drive, Maungaraki, Lower Hutt",Postbox,post_a_letter_standard
100053,Posting box,"577 High Street, Lower Hutt",Postbox,post_a_letter_standard
100056,Posting box,"667 High Street, Lower Hutt",Postbox,post_a_letter_standard
100066,Posting box,"Brunswick Street, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100061,Posting box,"700 High Street, Lower Hutt",Postbox,post_a_letter_standard
100047,Posting box,"445 High Street, Lower Hutt",Postbox,post_a_letter_standard
100036,Posting box,"27 Hillary Court, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
58177,Naenae PostShop,"27 Hillary Court, Naenae, Lower Hutt 5011",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,pay_a_bill,standard_banking_services,counter_delivery"
100065,Posting box,"636 High Street, Lower Hutt",Postbox,post_a_letter_standard
65096,Kiwibank ATM,"25 Hillary Court, Naenae, Lower Hutt 5011",ATM,atm
60156,Naenae PostShop,"25 Hillary Court, Naenae, Lower Hutt 5011",Postbox Lobby,box_lobby
99958,Posting box,"115 Kings Crescent, Lower Hutt",Postbox,post_a_letter_standard
100257,Posting box,"2 Whitemans Road, Silverstream, Upper Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
60702,Silverstream,"12/16 Whitemans Road, Silverstream, Upper Hutt 5019",Postbox Lobby,box_lobby
72542,Chatsworth Stationers,"12/16 Whitemans Road, Silverstream, Upper Hutt 5019",PostShop,"post_a_letter_standard,post_a_letter_fastpost,post_a_parcel,purchase_postage,counter_delivery"
100037,Posting box,"282 High Street, Lower Hutt",Postbox,"post_a_letter_standard,post_a_letter_fastpost"
100062,Posting box,"87 Naenae Road, Lower Hutt",Postbox,post_a_letter_standard
100057,Posting box,"69 Copeland Street, Lower Hutt",Postbox,post_a_letter_standard
82679,Lower Hutt Box Lobby,"21 Andrews Avenue, Hutt Central, Lower Hutt 5010",Postbox Lobby,box_lobby
